"","tract","lat","lon","type","local_stations","weight"
"10220",13,48.8321312223481,2.34829833701794,1,"104_105_115_116_123_126",10.6795
"10209",13,48.8321312223481,2.34897877327743,1,"104_105_115_116_123_126",10.6795
"10274",13,48.8321312223481,2.34965920953691,1,"104_105_115_116_123_126",10.6795
"10334",13,48.8321312223481,2.35033964579639,1,"105_115_116_117_123_126",10.6795
"10329",13,48.8321312223481,2.35102008205587,1,"105_115_116_117_123_126",10.6795
"10416",13,48.8321312223481,2.35170051831535,1,"105_115_116_117_123_126",10.6795
"10421",13,48.8321312223481,2.35238095457483,1,"105_115_116_117_123_126",10.6795
"10236",13,48.8321312223481,2.35306139083431,1,"105_115_116_117_123_126",10.6795
"10244",13,48.8321312223481,2.35374182709379,1,"105_115_116_117_123_126",10.6795
"10427",13,48.8321312223481,2.35442226335327,1,"105_115_116_117_123_126",10.6795
"10301",13,48.8325811112255,2.34693746449898,1,"104_105_115_116_123_126",10.6795
"10315",13,48.8325811112255,2.34761790075846,1,"104_105_115_116_123_126",10.6795
"10212",13,48.8325811112255,2.34829833701794,1,"104_105_115_116_123_126",10.6795
"10265",13,48.8325811112255,2.34897877327743,1,"104_105_115_116_123_126",10.6795
"10396",13,48.8325811112255,2.34965920953691,1,"104_105_115_116_123_126",10.6795
"10254",13,48.8325811112255,2.35033964579639,1,"105_115_116_117_123_126",10.6795
"10343",13,48.8325811112255,2.35102008205587,1,"105_115_116_117_123_126",10.6795
"10444",13,48.8325811112255,2.35170051831535,1,"105_115_116_117_123_126",10.6795
"10410",13,48.8325811112255,2.35238095457483,1,"105_115_116_117_123_126",10.6795
"10225",13,48.8325811112255,2.35306139083431,1,"105_115_116_117_123_126",10.6795
"10232",13,48.8325811112255,2.35374182709379,1,"105_115_116_117_123_126",10.6795
"10401",13,48.8325811112255,2.35442226335327,1,"105_115_116_117_123_126",10.6795
"10412",13,48.8325811112255,2.35510269961275,1,"105_115_116_117_123_126",10.6795
"10525",13,48.8325811112255,2.35578313587223,1,"105_115_116_117_123_126",10.6795
"10330",13,48.833031000103,2.3462570282395,1,"104_105_115_116_118_123",10.6795
"10381",13,48.833031000103,2.34693746449898,1,"104_105_115_116_123_126",10.6795
"10356",13,48.833031000103,2.34761790075846,1,"104_105_115_116_123_126",10.6795
"10214",13,48.833031000103,2.34829833701794,1,"104_105_115_116_123_126",10.6795
"10227",13,48.833031000103,2.34897877327743,1,"104_105_115_116_123_126",10.6795
"10357",13,48.833031000103,2.34965920953691,1,"104_105_115_116_123_126",10.6795
"10269",13,48.833031000103,2.35033964579639,1,"104_105_115_116_123_126",10.6795
"10331",13,48.833031000103,2.35102008205587,1,"105_115_116_117_123_126",10.6795
"10445",13,48.833031000103,2.35170051831535,1,"105_115_116_117_123_126",10.6795
"10379",13,48.833031000103,2.35238095457483,1,"105_115_116_117_123_126",10.6795
"10222",13,48.833031000103,2.35306139083431,1,"105_115_116_117_123_126",10.6795
"10438",13,48.833031000103,2.35374182709379,1,"105_115_116_117_123_126",10.6795
"10295",13,48.833031000103,2.35442226335327,1,"105_115_116_117_123_126",10.6795
"10413",13,48.833031000103,2.35510269961275,1,"105_115_116_117_123_126",10.6795
"10539",13,48.833031000103,2.35578313587223,1,"105_115_116_117_123_126",10.6795
"10557",13,48.833031000103,2.35646357213171,1,"115_116_117_123_125_126",10.6795
"10306",13,48.8334808889804,2.34557659198002,1,"95_104_105_115_116_118",10.6795
"10505",13,48.8334808889804,2.3462570282395,1,"104_105_115_116_118_123",10.6795
"10300",13,48.8334808889804,2.34693746449898,1,"104_105_115_116_123_126",10.6795
