demand_vec,beta_list,serv_lvl_factor_vec,scale_distance_factor_vec,base_serv_lvl
11.02909,0.1249903,1.0305537,0.1249903,0.9698858
37.09962,0.2499201,1.0289181,0.2499201,0.9698858
120.8102,0.4998402,1.0233311,0.4998402,0.9698858
388.89421,1,1,1,0.9698858
810.00076,1.8923644,0.9281684,1.8923644,0.9698858
805.80471,3.2776713,0.7751015,3.2776713,0.9698858
267.45293,5.6770932,0.5188261,5.6770932,0.9698858
649.1778,1.465819,0.9666321,1.465819,0.9698858
880.805,2.317664,0.8830477,2.317664,0.9698858
870.2072,2.838547,0.8245026,2.838547,0.9698858
803.7387,3.277671,0.774367,3.277671,0.9698858
