"","x"
"1",4.03711881870408
"2",9.14249541772185
"3",17.0894994938317
"4",18.3043438982819
"5",16.3144292413134
"6",26.6632312733677
"7",23.6273952142385
"8",26.5406912286801
"9",21.9760401955412
"10",25.0009233827815
"11",24.3885293957553
"12",26.2149679982401
"13",24.5824097331052
"14",28.3552472966223
"15",24.6931724685503
"16",25.9946109760801
"17",25.1504609371932
"18",21.9097301286328
"19",22.1584382996882
"20",19.4969962392388
"21",19.566068082347
"22",19.1376249602132
"23",18.0287330027998
"24",16.5713741886371
"25",14.6377024539507
"26",14.1074765867683
"27",12.318417288009
"28",11.0763970192954
"29",8.85661279351833
"30",8.15728816789027
"31",7.70809044615727
"32",6.81229117905393
"33",5.46732292545561
"34",4.60031123471019
"35",4.03418880090697
"36",3.30821381985788
"37",2.98297603573526
"38",2.17575222149892
"39",1.60340289183237
"40",1.26827897068596
"41",1.0677035649115
"42",0.752829812378559
"43",0.526370512795158
"44",0.398046897825583
"45",0.295744023919578
"46",0.210639349070559
"47",0.199157061867219
"48",0.146402586434169
"49",0.0936332087100304
"50",0.0690320641504486
"51",0.0509691028888181
"52",0.0378334268920377
"53",0.0277417405817618
"54",0.0193198777084637
"55",0.0123032410773838
"56",0.00936552819982519
"57",0.008513235972475
"58",0.00510886936283001
"59",0.00454221630407422
"60",0.0029643736100367
"61",0.00168844048116158
"62",0.00194182980669645
"63",0.00103549931846924
"64",0.000664850199280471
"65",0.000536464622912631
"66",0.000358213228253694
"67",0.000255893267952166
"68",0.000185135616899531
"69",0.00013705338275751
"70",0.000108428666027211
"71",6.79174136723507e-05
"72",6.73987165674244e-05
"73",3.64335926326028e-05
"74",2.75881436875679e-05
"75",1.95318997431788e-05
"76",1.34159770423152e-05
"77",1.16992982899342e-05
"78",6.46549175466475e-06
"79",4.62278173679659e-06
"80",3.26037113312496e-06
"81",2.77137971314366e-06
"82",1.54308351065322e-06
"83",1.05973811697099e-06
"84",6.7775434452347e-07
"85",5.04176444115992e-07
"86",3.23729629581498e-07
"87",2.28984628628496e-07
"88",1.43757950578775e-07
"89",8.47877254927369e-08
"90",6.02088671487616e-08
"91",4.11518968241918e-08
"92",2.77531457042134e-08
"93",1.51940944243451e-08
"94",1.0741568136947e-08
"95",5.77665266262175e-09
"96",4.48299647139438e-09
"97",2.73483950185503e-09
"98",1.57236061742474e-09
"99",1.00211657038188e-09
"100",5.39038554867862e-10
"101",4.10075201824418e-10
"102",1.96415044919219e-10
"103",1.50017341903238e-10
"104",7.50051712503962e-11
"105",4.91126550095863e-11
"106",2.86005030302243e-11
"107",1.67096441925661e-11
"108",7.99310336784446e-12
"109",4.50794740153579e-12
"110",3.61000854611297e-12
"111",1.57875177115968e-12
"112",8.45389732557296e-13
"113",4.08267306619054e-13
"114",2.46171929743066e-13
"115",1.21111788265541e-13
"116",6.48778413241652e-14
"117",4.2575737671415e-14
"118",1.6779057201789e-14
"119",6.28661881848493e-15
"120",6.26389995900216e-15
"121",1.94256199285862e-15
"122",1.12209109286836e-15
"123",8.38447273335042e-16
"124",2.26826529880215e-16
"125",8.63938895829125e-17
"126",6.43862028046758e-17
"127",2.89406929510773e-17
"128",1.84393559333645e-17
"129",1.52563146796377e-17
"130",0
"131",0
"132",1.54896741540526e-18
"133",8.66424342128533e-19
"134",3.3524891638952e-19
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",0
"180",0
"181",0
"182",0
"183",0
"184",0
"185",0
"186",0
"187",0
"188",0
"189",0
"190",0
"191",0
"192",0
"193",0
"194",0
"195",0
"196",0
"197",0
"198",0
"199",0
"200",0
