"","x"
"1",4.05600693886935
"2",8.31457986294423
"3",15.7638084639961
"4",17.4681106854131
"5",15.8597123546913
"6",24.7091333950568
"7",22.1415614516077
"8",24.0593915091287
"9",20.47221131634
"10",23.1390292286471
"11",23.033534645496
"12",24.8979504228833
"13",23.202519984674
"14",25.3302769896177
"15",23.4913636655644
"16",24.4319267195811
"17",23.3071018156351
"18",20.5097289886652
"19",21.0569295648142
"20",19.3678651816313
"21",19.2095937659499
"22",19.0938936328613
"23",17.9447070230816
"24",17.0513726355516
"25",15.385617937659
"26",15.5383561601673
"27",13.4702359153264
"28",12.5250524148987
"29",10.55937189089
"30",9.77080023234005
"31",9.58824376540892
"32",8.40842180347389
"33",6.99235123675405
"34",5.97391889452254
"35",5.32896940792827
"36",4.53331763397518
"37",4.33016952204456
"38",3.31828559629155
"39",2.60101805442977
"40",2.07578663704087
"41",1.82859412501764
"42",1.36102013570058
"43",1.0623137401606
"44",0.829429772450764
"45",0.639744695634009
"46",0.476133326050667
"47",0.47413566055876
"48",0.370022585537532
"49",0.261846007485746
"50",0.200183027683573
"51",0.153581392294159
"52",0.126028855540396
"53",0.0965973320336935
"54",0.0732549752868414
"55",0.0489580547308029
"56",0.0401426685429028
"57",0.0357688077548758
"58",0.0243586139578671
"59",0.0227157924736523
"60",0.0161985797182998
"61",0.00986433591046983
"62",0.0113516534070842
"63",0.00725744155297068
"64",0.00525591554905629
"65",0.00440737847819159
"66",0.00329501546905247
"67",0.00243491800820753
"68",0.00206714241959793
"69",0.00166098430116752
"70",0.00146267782511152
"71",0.00094177682178445
"72",0.00100449845294762
"73",0.000632646755740676
"74",0.000483853558143307
"75",0.000435729556356888
"76",0.000330614315518619
"77",0.000286682190595948
"78",0.000177119658352418
"79",0.000141362320947411
"80",0.000111431402960177
"81",0.000107732303536921
"82",7.01299502087479e-05
"83",4.96108382222231e-05
"84",3.42204756843876e-05
"85",2.92213078889973e-05
"86",2.18348843380377e-05
"87",1.5397734056178e-05
"88",1.1716303940234e-05
"89",7.79576380391712e-06
"90",6.23706351916082e-06
"91",5.02750817548545e-06
"92",3.39025283456693e-06
"93",2.32098553706441e-06
"94",1.91245399148043e-06
"95",1.14148725439888e-06
"96",9.67672642953939e-07
"97",7.24807499865584e-07
"98",4.75697563409482e-07
"99",3.01747906483913e-07
"100",2.27366664295668e-07
"101",1.98771494507229e-07
"102",9.46252180687095e-08
"103",8.05504484464277e-08
"104",5.11601934921771e-08
"105",4.31310019788673e-08
"106",2.29881834337751e-08
"107",1.53039455573027e-08
"108",8.3946842535503e-09
"109",5.70088894003115e-09
"110",5.15022357940369e-09
"111",2.70187079419249e-09
"112",1.71955477679865e-09
"113",9.29492083688943e-10
"114",6.85262705106711e-10
"115",3.95008814528203e-10
"116",2.47914676974832e-10
"117",1.90189343845683e-10
"118",8.79144856568698e-11
"119",3.93889461483012e-11
"120",4.68899547291301e-11
"121",1.87591661021433e-11
"122",1.24189043029363e-11
"123",1.08266261798885e-11
"124",3.59486238766893e-12
"125",1.49194184289894e-12
"126",1.39047879959618e-12
"127",7.36027334103198e-13
"128",5.78172576244664e-13
"129",5.73731080690192e-13
"130",0
"131",0
"132",9.61129034739416e-14
"133",6.58487871629614e-14
"134",3.10075291599132e-14
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",0
"180",0
"181",0
"182",0
"183",0
"184",0
"185",0
"186",0
"187",0
"188",0
"189",0
"190",0
"191",0
"192",0
"193",0
"194",0
"195",0
"196",0
"197",0
"198",0
"199",0
"200",0
