r82.7.1_noRD_noobswt_hyperlocal_majoritystates_preweatherreg_metrodummies_moments_1:20_full_nldis_pr6.txt
Step 1,t-stat,Step 2,t-stat
-8.35871383851562, -2.02, -7.05763614288118, -1.69    
0, , 0,                                               
-26.8917233377732, -1.28, -42.2851827773818, -1.78    
, , ,                                                 
, , ,                                                 
8.20156631452591, 6.38, 7.88158974175794, 7.18        
-5.35977615009036, -4.37, -5.27514960311924, -5.1     
-0.170483449786323, -15.16, -0.175127153576731, -18.08
, , ,                                                 
, , ,                                                 
, , ,                                                 
0.0151625160624657, 20.99, 0.0155707891869858, 22.61  
0.63515638888194, 2.72, 0.568548238466994, 3.09       
0.0803194834462986, , 0.0790082005999585,             
3.60894649231531, 2, 3.02875777797875, 2.92           
0, , 0,                                               
0, , 0,                                               
0, , 0,                                               
0, , 0,                                               
0, , 0,                                               
0, , 0,                                               
0.323608230438287, 0.43, 1.27901998587422, 2.04       
7.11558411106173e-08, 0, 0.00148454908256477, 0       
2.26339544651888e-07, 0, 0.00128644561268868, 0       
, , ,                                                 
832.459082059341, , 0.0112876998767304,               
36812.641, , 106969.333,                              
16, , 45,                                             
      [,1]                                               
density ridership, 60.4681017566443              
density metro, 8.94654958853272                  
density intercept, 28.5844260078572              
density metro evening, 1.93720321932626          
local_government_office, 0                       
food, 0                                          
lodging, 0                                       
museum, 0                                        
movie_theater, 0                                 
density bus, 0                                   
density tourist locations, 0.0558488001427109    
density metro dummy, 0.00761399312597229         
density metro evening dummy, 0.000256634370808818


r84.7.1_noRD_hyperlocal_majoritystates_preweatherreg_metrodummies_moments_1:20_full_nldis_pr6_killed.txt


r84.7.1_noRD_logwts_hyperlocal_majoritystates_preweatherreg_metrodummies_moments_1:20_full_nldis_pr6_killed.txt


r84.7.1_noRD_no0dem_bytw_1hr_preweatherreg_metrodummies_moments_1:20_full_nldis_pr6.txt
Step 1,t-stat,Step 2,t-stat
-2.05055104870015, -0.43, -1.65583108019232, -1.04    
0, , 0,                                               
-46.7845143216835, -1.91, -17.4460869204084, -2.66    
, , ,                                                 
, , ,                                                 
16.9734243554701, 8.75, 11.9541525995413, 4.28        
-11.3153285250711, -7.43, -7.45831813711786, -3.36    
-0.116880278414942, -22.73, -0.0621952144724568, -8.73
, , ,                                                 
, , ,                                                 
, , ,                                                 
0.007254035883972, 11.93, 0.0081692832784475, 13.14   
0.640630481357905, 2.88, 1.61378378820904, 2.82       
0.173145294366287, , 0.108975380110428,               
2.50399148229532, 1.28, 2.40458520129425, 0.71        
0, , 0,                                               
0, , 0,                                               
0, , 0,                                               
0, , 0,                                               
0, , 0,                                               
0, , 0,                                               
1.10456828586395, 1.54, 66.0058170859712, 6.76        
0, 0, 3.70868608161465, 2.15                          
0, 0, 6.87957564372898, 0.69                          
, , ,                                                 
394498.718913092, , 7.10127458953476e-05,             
9379.517, , 21686.78,                                 
16, , 36,                                             
      [,1]                                            
density ridership, 29.734177459804            
density metro, 16.2121805827373               
density intercept, 38.3420053925591           
density metro evening, 0.798313128455761      
local_government_office, 0                    
food, 0                                       
lodging, 0                                    
museum, 0                                     
movie_theater, 0                              
density bus, 0                                
density tourist locations, 2.0472297061556    
density metro dummy, 12.1257860096083         
density metro evening dummy, 0.740307720679973


r84.7.1_noRD_no0dem_bytw_1hr_wtmean1_diffst1weighmat_preweatherreg_metrodummies_moments_1:20_full_nldis_pr6.txt
Step 1,t-stat,Step 2,t-stat
-2.34218385712803, -0.5, -1.69231542579433, -0.34     
0, , 0,                                               
-47.1326679513834, -1.97, -56.3318692650966, -2.1     
, , ,                                                 
, , ,                                                 
16.5064822633872, 8.47, 17.1693251357586, 10.08       
-10.9336019101352, -7.15, -11.4821478575598, -8.65    
-0.119813493979951, -23.47, -0.107743166228784, -21.16
, , ,                                                 
, , ,                                                 
, , ,                                                 
0.00705949996873621, 11.64, 0.00755642849308962, 12.8 
0.637577437427454, 2.9, 0.552017661765249, 3.25       
0.175182772632478, , 0.171707131406727,               
2.63610449921853, 1.42, 2.36296560844136, 1.52        
0, , 0,                                               
0, , 0,                                               
0, , 0,                                               
0, , 0,                                               
0, , 0,                                               
0, , 0,                                               
0.893726376734549, 1.3, 1.9694667789966, 2.7          
0.000176717415778636, 0, 0.000119271444802853, 0      
0.00156251791937081, 0, 0.00118081256571769, 0        
, , ,                                                 
0.0125760714428479, , 0.0182105504177246,             
16311.678, , 37123.914,                               
37, , 88,                                             
      [,1]                                               
density ridership, 28.1558447435309              
density metro, 8.70476201879361                  
density intercept, 62.017271660331               
density metro evening, 0.987984431388345         
local_government_office, 0                       
food, 0                                          
lodging, 0                                       
museum, 0                                        
movie_theater, 0                                 
density bus, 0                                   
density tourist locations, 0.133364018962531     
density metro dummy, 0.000611964423928763        
density metro evening dummy, 0.000161162569761412


r84.7.1_noRD_no0dem_hyperlocal_majoritystates_preweatherreg_metrodummies_moments_1:20_full_nldis_pr6_killed.txt


r84.7.1_noRD_noobswt_hyperlocal_majoritystates_preweatherreg_metrodummies_moments_1:20_full_nldis_pr6_killed.txt


r84.7.1_noRD_tw1to5_hyperlocal_majoritystates_preweatherreg_metrodummies_moments_1:20_full_nldis_pr6.txt
Step 1,t-stat,Step 2,t-stat
-18.9545500514795, -1.27, 1.68621258567637, 0.45      
0, , 0,                                               
-21.0524428274031, -0.18, -30.2884773503187, -1.81    
, , ,                                                 
, , ,                                                 
29.8395221523939, 8.61, 16.9232957190284, 5.37        
-20.5696677279632, -7.92, -10.9745041530166, -4.54    
-0.0444267163835259, -4.39, -0.0110394076601881, -1.07
, , ,                                                 
, , ,                                                 
, , ,                                                 
0.0148440369753382, 15.75, 0.0175262879735604, 22.11  
0.249165622796153, 1.41, 0.577539249235397, 1.27      
0.101989000805885, , 0.0348137166196743,              
0, , 0,                                               
0, , 0,                                               
0, , 0,                                               
0, , 0,                                               
0, , 0,                                               
0, , 0,                                               
0, , 0,                                               
1.42904716865007, 1.18, 79.1986957366416, 4.08        
0, 0, 3.13788531136704, 2.13                          
0, , 0,                                               
, , ,                                                 
223839.253696832, , 3.29442108953214e-05,             
35425.436, , 66462.674,                               
17, , 30,                                             
      [,1]                                         
density ridership, 64.5130978696142        
density metro, 7.25321789053894            
density intercept, 12.9654338223447        
density metro evening, 0                   
local_government_office, 0                 
food, 0                                    
lodging, 0                                 
museum, 0                                  
movie_theater, 0                           
density bus, 0                             
density tourist locations, 2.56977051983628
density metro dummy, 12.6984798976659      
density metro evening dummy, 0             


