r70.5_noRD_hyperlocal_majoritystates_metrodummies_moments_1:10_full_nldis_pr3.txt,,,,,r70.5_noRD_hyperlocal_majoritystates_metrodummies_moments_1:10_full_nldis_pr6.txt,,,,,r70.5_noRD_hyperlocal_majoritystates_metrodummies_moments_1:10_full_stepf_2_pr3.txt,,,,,r70.5_noRD_hyperlocal_majoritystates_metrodummies_moments_1:10_full_stepf_2_pr6.txt,,,,,r70.5_noRD_hyperlocal_majoritystates_metrodummies_moments_1:10_full_stepf_pr3.txt,,,,,r70.5_noRD_hyperlocal_majoritystates_metrodummies_moments_1:10_full_stepf_pr6.txt,,,,,r70.5_noRD_hyperlocal_majoritystates_metrodummies_moments_1:20_full_nldis_pr3.txt,,,,,r70.5_noRD_hyperlocal_majoritystates_metrodummies_moments_1:20_full_nldis_pr6.txt,,,,,r70.5_noRD_hyperlocal_majoritystates_metrodummies_moments_1:20_full_stepf_2_pr3.txt,,,,,r70.5_noRD_hyperlocal_majoritystates_metrodummies_moments_1:20_full_stepf_2_pr6.txt,,,,,r70.5_noRD_hyperlocal_majoritystates_metrodummies_moments_1:20_full_stepf_pr3.txt,,,,,r70.5_noRD_hyperlocal_majoritystates_metrodummies_moments_1:20_full_stepf_pr6.txt
Step 1,t-stat,Step 2,t-stat,,Step 1,t-stat,Step 2,t-stat,,Step 1,t-stat,Step 2,t-stat,,Step 1,t-stat,Step 2,t-stat,,Step 1,t-stat,Step 2,t-stat,,Step 1,t-stat,Step 2,t-stat,,,,,,,,,,,,Step 1,t-stat,Step 2,t-stat,,,,,,,Step 1,t-stat,Step 2,t-stat,,
0.747863242,0.27,-7.820612022,-3.93,,-12.76994149,-12.54,-12.85384682,-13.07,,-0.932552021,-0.36,-9.002536264,-5.58,,-11.91611347,-4.92,-14.6261623,-10,,-5.712310333,-4.06,-9.478340876,-9.05,,-9.103979973,-7.07,-11.21451297,-13.48,,,,,,,,,,,,-7.071539076,-4.68,1.643074064,1.42,,,,,,,-15.29336643,-10.39,-5.436791919,-11.78,,
0, ,0,                                          ,,0, ,0,                                            ,,0, ,0,                                            ,,0, ,0,                                            ,,0, ,0,                                           ,,0, ,0,                                            ,,,,,,,,,,,,0, ,0,                                           ,,,,,,,0, ,0,                                             ,,
-24.91274583,-3.4,-10.86589568,-1.47,,9.464192695,9.03,7.909460173,5.55,,-10.33034098,-12.71,-10.87662216,-7.2,,-6.222500851,-12.57,-7.300550321,-8.82,,-99.99999995,-0.43,-35.09664245,-0.95,,-3.650395004,-2.99,-8.894463972,-3.34,,,,,,,,,,,,-34.96024574,-2.69,-18.07155175,-5.88,,,,,,,-100,-0.13,-61.83008744,-0.72,,
, , ,                                            ,,, , ,                                              ,,, , ,                                              ,,, , ,                                              ,,, , ,                                             ,,, , ,                                              ,,,,,,,,,,,,, , ,                                             ,,,,,,,, , ,                                               ,,
, , ,                                            ,,, , ,                                              ,,, , ,                                              ,,, , ,                                              ,,, , ,                                             ,,, , ,                                              ,,,,,,,,,,,,, , ,                                             ,,,,,,,, , ,                                               ,,
, , ,                                            ,,, , ,                                              ,,, , ,                                              ,,, , ,                                              ,,, , ,                                             ,,, , ,                                              ,,,,,,,,,,,,, , ,                                             ,,,,,,,, , ,                                               ,,
, , ,                                            ,,, , ,                                              ,,, , ,                                              ,,, , ,                                              ,,, , ,                                             ,,, , ,                                              ,,,,,,,,,,,,, , ,                                             ,,,,,,,, , ,                                               ,,
, , ,                                            ,,, , ,                                              ,,, , ,                                              ,,, , ,                                              ,,, , ,                                             ,,, , ,                                              ,,,,,,,,,,,,, , ,                                             ,,,,,,,, , ,                                               ,,
, , ,                                            ,,, , ,                                              ,,, , ,                                              ,,, , ,                                              ,,, , ,                                             ,,, , ,                                              ,,,,,,,,,,,,, , ,                                             ,,,,,,,, , ,                                               ,,
, , ,                                            ,,, , ,                                              ,,, , ,                                              ,,, , ,                                              ,,, , ,                                             ,,, , ,                                              ,,,,,,,,,,,,, , ,                                             ,,,,,,,, , ,                                               ,,
