"","Station","Traffic","lat","lon"
"1","ABBESSES",2555092,48.8844176451841,2.33871281165883
"2","ALESIA",5208628,48.828398514348,2.32674567371924
"3","ALEXANDRE DUMAS",3846473,48.8561744489676,2.3949898158233
"4","ALMA-MARCEAU",4272042,48.8646460306735,2.30088336611718
"5","ANATOLE FRANCE",3801122,48.8924723754181,2.285373878396
"6","ANVERS",6780971,48.8831322902739,2.34397282520569
"7","ARGENTINE",2947071,48.875533092935,2.2893216639617
"8","ARTS ET METIERS",3836852,48.86529,2.356378
"9","ASSEMBLEE NATIONALE",1142259,48.8608996856827,2.32063223779825
"10","AUBERVILLIERS-PANTIN-QUATRE CHEMINS",6927817,48.9038299162483,2.3920219501423
"11","AVENUE EMILE ZOLA",1551758,48.8469642745973,2.29493807524416
"12","AVRON",1916547,48.8509782113622,2.39798013009568
"13","BALARD",4287048,48.8362754634973,2.27821832700082
"14","BARBES-ROCHECHOUART",9178399,48.8836207315381,2.34973719426844
"15","BASILIQUE DE SAINT-DENIS",5434754,48.9366033097107,2.35941471750625
"16","BASTILLE",13590937,48.8528417309667,2.36918060506559
"17","BEL AIR",2249229,48.8418961424237,2.40120562705964
"18","BELLEVILLE",11598308,48.8720416041714,2.37680560769084
"19","BERAULT",2858413,48.8453342425325,2.42923849792977
"20","BERCY",5359847,48.8404280893475,2.37958296880394
"21","BIBLIOTHEQUE",15840239,48.8296059726948,2.3760926116913
"22","BILLANCOURT",2903875,48.8319437593265,2.23810999708736
"23","BIR-HAKEIM",7094930,48.8543331586284,2.28878285580103
"24","BLANCHE",4278243,48.8836536085134,2.33166752315741
"25","BOBIGNY-PABLO PICASSO",7461452,48.9069699442981,2.44962071744096
"26","BOBIGNY-PANTIN-RAYMOND QUENEAU",2438115,48.8952689905167,2.42480187771966
"27","BOISSIERE",1984327,48.8670270457182,2.29047384540453
"28","BOLIVAR",581422,48.8805834299155,2.37397783298056
"29","BONNE NOUVELLE",4932874,48.8705587205312,2.34867956971335
"30","BOTZARIS",996326,48.8793377265439,2.38873399145736
"31","BOUCICAUT",3106974,48.8412408953716,2.28763431751091
"32","BOULOGNE-JEAN JAURES",3797640,48.8422216612984,2.23883585019659
"33","BOULOGNE-PONT DE SAINT-CLOUD",3051796,48.8407983651067,2.22821129036639
"34","BOURSE",3293898,48.8687976838596,2.34123268333609
"35","BREGUET-SABIN",2085448,48.8565162145681,2.3709371333348
"36","BROCHANT",3471022,48.8903794211931,2.32002765158099
"37","BUTTES-CHAUMONT",492601,48.8777769835483,2.38112931956877
"38","BUZENVAL",1896837,48.8517360615634,2.40102482535231
"39","CADET",3485034,48.875475187116,2.34305895381275
"40","CAMBRONNE",2565239,48.8474563362776,2.30180780419231
"41","CAMPO-FORMIO",1280674,48.8357759721732,2.35815314107711
"42","CARDINAL LEMOINE",1713765,48.8463912485782,2.35147807315592
"43","CARREFOUR PLEYEL",2987091,48.9194552102366,2.34320024908898
"44","CENSIER-DAUBENTON",3566470,48.8405358795008,2.35142881208972
"45","CHAMPS-ELYSEES-CLEMENCEAU",4910801,48.8674114214171,2.31395945009909
"46","CHARDON-LAGACHE",639607,48.8447174018404,2.26654168725371
"47","CHARENTON-ECOLES",3111359,48.8213638104296,2.41407434683562
"48","CHARLES DE GAULLE-ETOILE",8941588,48.8744076036607,2.29576268465124
"49","CHARLES MICHELS",4897053,48.8463362741362,2.28633238561987
"50","CHARONNE",3980318,48.8547662368488,2.38527064781972
"51","CHATEAU D'EAU",3967264,48.8725890109106,2.35547036877069
"52","CHATEAU DE VINCENNES",5365513,48.8445363116503,2.43950970545674
"53","CHATEAU ROUGE",6879272,48.8871760670966,2.34982663344309
"54","CHATEAU-LANDON",1629996,48.8783126784077,2.36229890860251
"55","CHATELET",12502708,48.8585195224421,2.34711940104793
"56","CHATILLON-MONTROUGE",6109396,48.8103147675511,2.30124802198432
"57","CHAUSSEE D'ANTIN-LA FAYETTE",7612896,48.8728970365659,2.33350116136944
"58","CHEMIN VERT",1488841,48.8575640614859,2.36793452563335
"59","CHEVALERET",3055302,48.8344079354527,2.36716524071823
"60","CITE",2326158,48.8551005857888,2.3467203742446
"61","CLUNY LA SORBONNE",2483282,48.8510383641319,2.34522158237992
"62","COLONEL FABIEN",4575858,48.8779422921331,2.37014713779616
"63","COMMERCE",2996497,48.844811191807,2.29335345012085
"64","CONCORDE",7102855,48.8661829956315,2.32329987859148
"65","CONVENTION",5614573,48.8374696207371,2.29689958279762
"66","CORENTIN CARIOU",3115884,48.8949061258374,2.38244550268222
"67","CORENTIN CELTON",3447242,48.8272434444069,2.27930670368976
"68","CORVISART",2538729,48.8296116848646,2.34943832730731
"69","COUR SAINT-EMILION",5805955,48.8334843071503,2.38761298844824
"70","COURCELLES",2733589,48.879268,2.303304
"71","COURONNES",3006923,48.869274,2.380155
"72","CRETEIL-L'ECHAT",2465183,48.7964623870188,2.44906187102647
"73","CRETEIL-POINTE DU LAC",2564228,48.768713,2.464298
"74","CRETEIL-PREFECTURE",4674246,48.7797484034104,2.45914426746537
"75","CRETEIL-UNIVERSITE",3522563,48.7893506910917,2.45144739751129
"76","CRIMEE",6800500,48.8906811628606,2.37681528947191
"77","CROIX DE CHAVAUX",5198911,48.8579269412394,2.43609830308268
"78","DANUBE",617424,48.8820231366362,2.39270205235331
"79","DAUMESNIL",5140492,48.8393629125482,2.39584590805199
"80","DENFERT-ROCHEREAU",4268859,48.8335919035577,2.33189346001924
"81","DUGOMMIER",2640369,48.8389122332307,2.38895257216093
"82","DUPLEIX",3347548,48.8508056365633,2.29276958714394
"83","DUROC",3515234,48.8467835319339,2.31672285703746
"84","ECOLE MILITAIRE",4640723,48.8545185491092,2.30554381620113
"85","ECOLE VETERINAIRE DE MAISONS-ALFORT",3234540,48.8151517942859,2.42075635931134
"86","EDGAR QUINET",2081259,48.8403339877984,2.3261713916465
"87","EGLISE D'AUTEUIL",179058,48.8471813581933,2.26890098784783
"88","EGLISE DE PANTIN",3633009,48.893113981741,2.41328568033304
"89","ESPLANADE DE LA DEFENSE",9992248,48.887843122138,2.25044232471862
"90","ETIENNE MARCEL",2897367,48.8634946589771,2.34866984004444
"91","EUROPE",1585380,48.8787098768874,2.32282484061213
"92","EXELMANS",2040930,48.8424273379119,2.25973661579821
"93","FAIDHERBE-CHALIGNY",3073785,48.8502384503521,2.38427458098634
"94","FALGUIERE",965829,48.844637894177,2.31749646866691
"95","FELIX FAURE",1838532,48.8429772288922,2.29199788779218
"96","FILLES DU CALVAIRE",1832013,48.8633028923386,2.36645313804373
"97","FORT D'AUBERVILLIERS",3694272,48.9146921997335,2.40417710143886
"98","FRANKLIN D. ROOSEVELT",12053554,48.8693052286485,2.30830876451203
"99","FRONT POPULAIRE",2287004,48.906675,2.365796
"100","FUNICULAIRE",3596114,48.885227,2.342544
"101","GABRIEL PERI",5278348,48.9162335021232,2.29492376422254
"102","GAITE",3134147,48.8384911503461,2.32258277982791
"103","GALLIENI",6196476,48.8633345779424,2.41568260426712
"104","GAMBETTA",7365448,48.8648347782704,2.39846223866212
"105","GARE D'AUSTERLITZ",9210572,48.8431055835176,2.36431304821499
"106","GARE DE L'EST",20284835,48.8760613055252,2.35791867724751
"107","GARE DE LYON",35162388,48.8447045450658,2.37406590751466
"108","GARE DU NORD",51316194,48.8799654432891,2.35470307836603
"109","GARIBALDI",3197736,48.9060316197727,2.33173327604333
"110","GEORGE V",6273359,48.8719825731694,2.30046268343343
"111","GLACIERE",4827308,48.8313647071449,2.34393889430969
"112","GONCOURT",3517379,48.8696803933807,2.3712726500969
"113","GRANDS BOULEVARDS",7345811,48.8714189081641,2.34319701067138
"114","GUY MOQUET",4602495,48.8924675161233,2.32722675495985
"115","HAVRE-CAUMARTIN",7661183,48.8733427700542,2.3285077502868
"116","HOCHE",5040191,48.8913165639098,2.40319741378238
"117","HOTEL DE VILLE",12621901,48.8567695272423,2.35149453979435
"118","IENA",2383490,48.8644728974464,2.2937999591139
"119","INVALIDES",7420581,48.8616865404563,2.31435704324728
"120","JACQUES BONSERGENT",2667291,48.8709749040173,2.36053788394075
"121","JASMIN",2047639,48.8523396005309,2.26790681383725
"122","JAURES",5960472,48.8825437461168,2.37023181919226
"123","JAVEL-ANDRE CITROEN",2654991,48.8461034637876,2.27845497841475
"124","JOURDAIN",3474999,48.8751674276782,2.38919309981893
"125","JULES JOFFRIN",4464152,48.8924519921638,2.34446469630622
"126","JUSSIEU",4174050,48.8458380895278,2.35469159842714
"127","KLEBER",1203757,48.8710948130145,2.29307915421584
"128","LA CHAPELLE",6352766,48.8839663987791,2.35849962591676
"129","LA COURNEUVE-8 MAI 1945",5665476,48.9209043594324,2.41045542691904
"130","LA DEFENSE",14367265,48.8919344692345,2.23788279833084
"131","LA FOURCHE",2816140,48.8873918956469,2.32603867708385
"132","LA MOTTE-PICQUET-GRENELLE",8248998,48.8491605024288,2.29794929910712
"133","LA MUETTE",4328056,48.8579377398982,2.27411706697758
"134","LA TOUR-MAUBOURG",2096559,48.8573850541664,2.30959864479432
"135","LAMARCK-CAULAINCOURT",3094805,48.8897560451806,2.33889013654466
"136","LAUMIERE",4582224,48.8850422338428,2.3795955531979
"137","LE KREMLIN-BICETRE",4360175,48.8103806352167,2.36161295005801
"138","LE PELETIER",2258996,48.8749360634737,2.33980253815072
"139","LEDRU-ROLLIN",3830872,48.8511941201646,2.37594535235887
"140","LES AGNETTES",2386282,48.9229162320519,2.28582751788663
"141","LES COURTILLES",4126878,48.93016,2.284074
"142","LES GOBELINS",3603185,48.8366105352574,2.35164217355525
"143","LES HALLES",17991605,48.862194721152,2.34583626729201
"144","LES SABLONS",5500065,48.880901799077,2.27253908542214
"145","LIBERTE",2635279,48.8258380800419,2.40692557755493
"146","LIEGE",1659751,48.8795640572124,2.32651728518985
"147","LOUIS BLANC",2386942,48.8810261029957,2.3655569576092
"148","LOUISE MICHEL",3543857,48.8888292427619,2.28813731087893
"149","LOURMEL",2424840,48.8384881095778,2.28175852328733
"150","LOUVRE",3174681,48.8605382946574,2.34100049025543
"151","MABILLON",1892987,48.8528181349058,2.33540928887416
"152","MADELEINE",6889442,48.8700643517776,2.32516370025939
